PID,Processname,process Create TIme,Local Address&port,Remote Address&port
860,kerneloops,34-18:12:54,,
862,kerneloops,34-18:12:54,,
934,rtkit-daemon,34-18:12:54,,
1020,upowerd,34-18:12:53,,
1293,colord,34-18:12:46,,
4036,polkitd,34-03:04:08,,
4040,ModemManager,34-03:04:08,,
30780,loop12,25-05:27:49,,
39045,xfsalloc,25-02:46:46,,
39046,xfs_mru_cache,25-02:46:47,,
39049,jfsIO,25-02:46:47,,
39050,jfsCommit,25-02:46:47,,
39051,jfsCommit,25-02:46:47,,
39052,jfsCommit,25-02:46:47,,
39053,jfsCommit,25-02:46:47,,
39054,jfsSync,25-02:46:47,,
55856,loop13,20-05:12:48,,
55874,snapd,20-05:12:46,,
73662,loop14,17-05:52:34,,
112512,loop0, 5-13:12:27,,
129728,gdm-session-wor, 2-14:37:28,,
129733,systemd, 2-14:37:24,,
129735,(sd-pam), 2-14:37:24,,
129742,pulseaudio, 2-14:37:23,,
129744,tracker-miner-f, 2-14:37:24,,
129748,dbus-daemon, 2-14:37:24,,
129750,gnome-keyring-d, 2-14:37:24,,
129754,gdm-x-session, 2-14:37:24,,
129756,Xorg, 2-14:37:24,,
129761,gvfsd, 2-14:37:23,,
129776,gvfsd-fuse, 2-14:37:24,,
129778,gvfs-udisks2-vo, 2-14:37:24,,
129791,gvfs-mtp-volume, 2-14:37:23,,
129795,gvfs-goa-volume, 2-14:37:23,,
129800,goa-daemon, 2-14:37:23,,
129809,goa-identity-se, 2-14:37:21,,
129814,gvfs-gphoto2-vo, 2-14:37:21,,
129819,gvfs-afc-volume, 2-14:37:21,,
129838,gnome-session-b, 2-14:37:21,,
129921,ssh-agent, 2-14:37:20,,
129938,gvfsd-metadata, 2-14:37:20,,
129942,ibus-daemon, 2-14:37:19,,
129946,ibus-memconf, 2-14:37:19,,
129949,ibus-ui-gtk3, 2-14:37:19,,
129952,ibus-extension-, 2-14:37:19,,
129954,ibus-x11, 2-14:37:20,,
129957,ibus-portal, 2-14:37:20,,
129961,at-spi-bus-laun, 2-14:37:20,,
